PLZ;Ortschaftsname
6614;Brissago
6614;Isole di Brissago
6613;Porto Ronco
6612;Ascona
6611;Crana
6611;Gresso
6611;Mosogno
6605;Locarno
6600;Locarno
6600;Muralto
6600;Solduno
6599;Robasacco
6598;Tenero
6597;Agarone
6596;Gordola
6595;Riazzino
6594;Contone
6593;Cadenazzo
6592;S. Antonino
6584;Carena
6583;S. Antonio (Val Morobbia)
6582;Pianezzo
6579;Piazzogna
6578;Caviano
6577;Ranzo
6576;Gerra (Gambarogno)
6575;S. Nazzaro
6575;Vairano
6574;Vira (Gambarogno)
6573;Magadino
6572;Quartino
6571;Indemini
6565;S. Bernardino
6563;Mesocco
6562;Soazza
6558;Lostallo
6557;Cama
6556;Leggia
6549;Laura
6548;Rossa
6547;Augio
6546;Cauco
6545;Selma
6544;Braggio
6543;Arvigo
6542;Buseno
6541;Sta. Maria in Calanca
6540;Castaneda
6538;Verdabbio
6537;Grono
6535;Roveredo GR
6534;S. Vittore
6533;Lumino
6532;Castione
6528;Camorino
6527;Lodrino
6526;Prosito
6525;Gnosca
6524;Moleno
6523;Preonzo
6518;Gorduno
6517;Arbedo
6516;Cugnasco
6515;Gudo
6514;Sementina
6513;Monte Carasso
6512;Giubiasco
6503;Bellinzona
6500;Bellinzona
6493;Hospental
6491;Realp
6490;Andermatt
6487;Göschenen
6485;Meien
6484;Wassen UR
6482;Gurtnellen
6476;Intschi
6475;Bristen
6474;Amsteg
6473;Silenen
6472;Erstfeld
6469;Haldi b. Schattdorf
6468;Attinghausen
6467;Schattdorf
6466;Bauen
6465;Unterschächen
6464;Spiringen
6463;Bürglen UR
6462;Seedorf UR
6461;Isenthal
6460;Altdorf UR
6454;Flüelen
6452;Riemenstalden
6452;Sisikon
6443;Morschach
6442;Gersau
6441;Rütli
6440;Brunnen
6438;Ibach
6436;Bisisthal
6436;Muotathal
6436;Ried (Muotathal)
6434;Illgau
6433;Stoos SZ
6432;Rickenbach b. Schwyz
6430;Schwyz
6424;Lauerz
6423;Seewen SZ
6422;Steinen
6418;Rothenthurm
6417;Sattel
6416;Steinerberg
6415;Arth
6414;Oberarth
6410;Goldau
6410;Rigi Klösterli
6410;Rigi Kulm
6410;Rigi Scheidegg
6410;Rigi Staffel
6405;Immensee
6404;Greppen
6403;Küssnacht am Rigi
6402;Merlischachen
6390;Engelberg
6388;Grafenort
6387;Oberrickenbach
6386;Wolfenschiessen
6383;Dallenwil
6383;Niederrickenbach
6383;Wiesenberg
6383;Wirzweli
6382;Büren NW
6377;Seelisberg
6376;Emmetten
6375;Beckenried
6374;Buochs
6373;Ennetbürgen
6372;Ennetmoos
6370;Oberdorf NW
6370;Stans
6365;Kehrsiten
6363;Bürgenstock
6363;Fürigen
6363;Obbürgen
6362;Stansstad
6356;Rigi Kaltbad
6354;Vitznau
6353;Weggis
6345;Neuheim
6344;Meierskappel
6343;Buonas
6343;Holzhäusern ZG
6343;Risch
6343;Rotkreuz
6340;Baar
6340;Sihlbrugg
6333;Hünenberg See
6332;Hagendorn
6331;Hünenberg
6330;Cham
6319;Allenwinden
6318;Walchwil
6317;Oberwil b. Zug
6315;Alosen
6315;Morgarten
6315;Oberägeri
6314;Neuägeri
6314;Unterägeri
6313;Edlibach
6313;Finstersee
6313;Menzingen
6312;Steinhausen
6300;Zug
6300;Zugerberg
6295;Mosen
6294;Ermensee
6289;Hämikon
6289;Müswangen
6288;Schongau
6287;Aesch LU
6286;Altwis
6285;Hitzkirch
6285;Retschwil
6284;Gelfingen
6284;Sulz LU
6283;Baldegg
6280;Hochdorf
6280;Urswil
6277;Kleinwangen
6277;Lieli LU
6276;Hohenrain
6275;Ballwil
6274;Eschenbach LU
6265;Roggliswil
6264;Pfaffnau
6263;Richenthal
6262;Langnau b. Reiden
6260;Hintermoos
6260;Mehlsecken
6260;Reiden
6260;Reidermoos
6253;Uffikon
6252;Dagmersellen
6248;Alberswil
6247;Schötz
6246;Altishofen
6245;Ebersecken
6244;Nebikon
6243;Egolzwil
6242;Wauwil
6236;Wilihof
6235;Winikon
6234;Kulmerau
6234;Triengen
6233;Büron
6232;Geuensee
6231;Schlierbach
6222;Gunzwil
6221;Rickenbach LU
6218;Ettiswil
6217;Kottwil
6216;Mauensee
6215;Beromünster
6215;Schwarzenbach LU
6214;Schenkon
6213;Knutwil
6212;Kaltbach
6212;St. Erhard
6211;Buchs LU
6210;Sursee
6208;Oberkirch LU
6207;Nottwil
6206;Neuenkirch
6205;Eich
6204;Sempach
6203;Sempach Station
6197;Schangnau
6196;Marbach LU
6192;Wiggen
6182;Escholzmatt
6174;Sörenberg
6173;Flühli LU
6170;Schüpfheim
6167;Bramboden
6166;Hasle LU
6163;Ebnet
6162;Entlebuch
6162;Finsterwald b. Entlebuch
6162;Rengg
6156;Luthern
6156;Luthern Bad
6154;Hofstatt
6153;Ufhusen
6152;Hüswil
6147;Altbüron
6146;Grossdietwil
6145;Fischbach LU
6144;Zell LU
6143;Ohmstal
6142;Gettnau
6133;Hergiswil b. Willisau
6132;Rohrmatt
6130;Willisau
6126;Daiwil
6125;Menzberg
6123;Geiss
6122;Menznau
6114;Steinhuserberg
6113;Romoos
6112;Doppleschwand
6110;Fontannen b. Wolhusen
6110;Wolhusen
6106;Werthenstein
6105;Schachen LU
6103;Schwarzenberg LU
6102;Malters
6086;Hasliberg Reuti
6085;Hasliberg Goldern
6084;Hasliberg Wasserwendi
6083;Hasliberg Hohfluh
6078;Bürglen OW
6078;Lungern
6074;Giswil
6073;Flüeli-Ranft
6072;Sachseln
6068;Melchsee-Frutt
6067;Melchtal
6066;St. Niklausen OW
6064;Kerns
6063;Stalden (Sarnen)
6062;Wilen (Sarnen)
6060;Ramersberg
6060;Sarnen
6056;Kägiswil
6055;Alpnach Dorf
6053;Alpnachstad
6052;Hergiswil NW
6048;Horw
6047;Kastanienbaum
6045;Meggen
6044;Udligenswil
6043;Adligenswil
6042;Dietwil
6039;Root D4
6038;Gisikon
6038;Honau
6037;Root
6036;Dierikon
6035;Perlen
6034;Inwil
6033;Buchrain
6032;Emmen
6030;Ebikon
6028;Herlisberg
6027;Römerswil LU
6026;Rain
6025;Neudorf
6024;Hildisrieden
6023;Rothenburg
6022;Grosswangen
6020;Emmenbrücke
6019;Sigigen
6018;Buttisholz
6017;Ruswil
6016;Hellbühl
6015;Luzern
6014;Luzern
6013;Eigenthal
6012;Obernau
6010;Kriens
6006;Luzern
6005;Luzern
6005;St. Niklausen LU
6004;Luzern
6003;Luzern
5746;Walterswil SO
5745;Safenwil
5742;Kölliken
5737;Menziken
5736;Burg AG
5735;Pfeffikon LU
5734;Reinach AG
5733;Leimbach AG
5732;Zetzwil
5728;Gontenschwil
5727;Oberkulm
5726;Unterkulm
5725;Leutwil
5724;Dürrenäsch
5723;Teufenthal AG
5722;Gränichen
5712;Beinwil am See
5708;Birrwil
5707;Seengen
5706;Boniswil
5705;Hallwil
5704;Egliswil
5703;Seon
5702;Niederlenz
5647;Oberrüti
5646;Abtwil AG
5645;Aettenschwil
5645;Fenkrieden
5644;Auw
5643;Alikon
5643;Meienberg
5643;Sins
5642;Mühlau
5637;Beinwil (Freiamt)
5637;Geltwil
5636;Benzenschwil
5634;Merenschwand
5632;Buttwil
5630;Muri AG
5628;Aristau
5627;Besenbüren
5626;Hermetschwil-Staffeln
5625;Kallern
5624;Bünzen
5624;Waldhäusern AG
5623;Boswil
5622;Waltenschwil
5621;Zufikon
5620;Bremgarten AG
5619;Büttikon AG
5619;Uezwil
5618;Bettwil
5617;Tennwil
5616;Meisterschwanden
5615;Fahrwangen
5614;Sarmenstorf
5613;Hilfikon
5612;Villmergen
5611;Anglikon
5610;Wohlen AG
5608;Stetten AG
5607;Hägglingen
5606;Dintikon
5605;Dottikon
5604;Hendschiken
5603;Staufen
5600;Ammerswil AG
5600;Lenzburg
5525;Fischbach-Göslikon
5524;Nesselnbach
5524;Niederwil AG
5522;Tägerig
5512;Wohlenschwil
5507;Mellingen
5506;Mägenwil
5505;Brunegg
5504;Othmarsingen
5503;Schafisheim
5502;Hunzenschwil
5467;Fisibach
5466;Kaiserstuhl AG
5465;Mellikon
5464;Rümikon AG
5463;Wislikofen
5462;Siglistorf
5454;Bellikon
5453;Remetschwil
5452;Oberrohrdorf
5445;Eggenwil
5444;Künten
5443;Niederrohrdorf
5442;Fislisbach
5436;Würenlos
5432;Neuenhof
5430;Wettingen
5426;Lengnau AG
5425;Schneisingen
5423;Freienwil
5420;Ehrendingen
5417;Untersiggenthal
5416;Kirchdorf AG
5415;Hertenstein AG
5415;Nussbaumen AG
5415;Rieden AG
5413;Birmenstorf AG
5412;Gebenstorf
5412;Vogelsang AG
5408;Ennetbaden
5406;Rütihof
5405;Dättwil AG
5404;Baden
5400;Baden
5334;Böbikon
5333;Baldingen
5332;Rekingen AG
5330;Bad Zurzach
5326;Schwaderloch
5325;Leibstadt
5324;Full-Reuenthal
5323;Rietheim
5322;Koblenz
5318;Mandach
5317;Hettenschwil
5316;Leuggern
5315;Böttstein
5314;Kleindöttingen
5313;Klingnau
5312;Döttingen
5306;Tegerfelden
5305;Unterendingen
5304;Endingen
5303;Würenlingen
5301;Siggenthal Station
5300;Turgi
5277;Hottwil
5276;Wil AG
5275;Etzgen
5274;Mettau
5273;Oberhofen AG
5272;Gansingen
5246;Scherz
5245;Habsburg
5244;Birrhard
5243;Mülligen
5242;Birr
5242;Lupfig
5237;Mönthal
5236;Remigen
5235;Rüfenach AG
5234;Villigen
5233;Stilli
5225;Bözberg
5223;Riniken
5222;Umiken
5213;Villnachern
5212;Hausen AG
5210;Windisch
5200;Brugg AG
5116;Schinznach Bad
5113;Holderbank AG
5112;Thalheim AG
5108;Oberflachs
5107;Schinznach Dorf
5106;Veltheim AG
5105;Auenstein
5103;Möriken AG
5103;Wildegg
5102;Rupperswil
5085;Sulz AG
5084;Rheinsulz
5083;Ittenthal
5082;Kaisten
5080;Laufenburg
5079;Zeihen
5078;Effingen
5077;Elfingen
5076;Bözen
5075;Hornussen
5074;Eiken
5073;Gipf-Oberfrick
5072;Oeschgen
5070;Frick
5064;Wittnau
5063;Wölflinswil
5062;Oberhof
5058;Wiliberg
5057;Reitnau
5056;Attelwil
5054;Kirchleerau
5054;Moosleerau
5053;Staffelbach
5053;Wittwil
5046;Schmiedrued
5046;Walde AG
5044;Schlossrued
5043;Holziken
5042;Hirschthal
5040;Schöftland
5037;Muhen
5036;Oberentfelden
5035;Unterentfelden
5034;Suhr
5033;Buchs AG
5032;Aarau Rohr
5028;Ueken
5027;Herznach
5026;Densbüren
5025;Asp
5024;Küttigen
5023;Biberstein
5022;Rombach
5018;Erlinsbach
5017;Barmelweid
5015;Erlinsbach SO
5014;Gretzenbach
5013;Niedergösgen
5012;Eppenberg
5012;Schönenwerd
5012;Wöschnau
5004;Aarau
5000;Aarau
4955;Gondiswil
4954;Wyssachen
4953;Schwarzenbach (Huttwil)
4952;Eriswil
4950;Huttwil
4944;Auswil
4943;Oeschenbach
4942;Walterswil BE
4938;Rohrbach
4938;Rohrbachgraben
4937;Ursenbach
4936;Kleindietwil
4935;Leimiswil
4934;Madiswil
4933;Rütschelen
4932;Gutenburg
4932;Lotzwil
4924;Obersteckholz
4923;Wynau
4922;Bützberg
4922;Thunstetten
4919;Reisiswil
4917;Busswil b. Melchnau
4917;Melchnau
4916;Untersteckholz
4915;St. Urban
4914;Roggwil BE
4913;Bannwil
4912;Aarwangen
4911;Schwarzhäusern
4900;Langenthal
4856;Glashütten
4853;Murgenthal
4853;Riken AG
4852;Rothrist
4814;Bottenwil
4813;Uerkheim
4812;Mühlethal
4806;Wikon
4805;Brittnau
4803;Vordemwald
4802;Strengelbach
4800;Zofingen
4719;Ramiswil
4718;Holderbank SO
4717;Mümliswil
4716;Gänsbrunnen
4716;Welschenrohr
4715;Herbetswil
4714;Aedermannsdorf
4713;Matzendorf
4712;Laupersdorf
4710;Balsthal
4704;Niederbipp
4704;Wolfisberg
4703;Kestenholz
4702;Oensingen
4665;Oftringen
4663;Aarburg
4658;Däniken SO
4657;Dulliken
4656;Starrkirch-Wil
4655;Rohr b. Olten
4655;Stüsslingen
4654;Lostorf
4653;Obergösgen
4652;Winznau
4634;Wisen SO
4633;Hauenstein
4632;Trimbach
4629;Fulenbach
4628;Wolfwil
4626;Niederbuchsiten
4625;Oberbuchsiten
4624;Härkingen
4623;Neuendorf
4622;Egerkingen
4618;Boningen
4617;Gunzgen
4616;Kappel SO
4615;Allerheiligenberg
4614;Hägendorf
4613;Rickenbach SO
4612;Wangen b. Olten
4600;Olten
4588;Brittern
4588;Oberramsern
4588;Unterramsern
4587;Aetingen
4586;Kyburg-Buchegg
4585;Biezwil
4584;Gächliwil
4584;Lüterswil
4583;Aetigkofen
4583;Mühledorf SO
4582;Brügglen
4581;Küttigkofen
4579;Gossliwil
4578;Bibern SO
4577;Hessigkofen
4576;Tscheppach
4574;Lüsslingen
4574;Nennigkofen
4573;Lohn-Ammannsegg
4571;Ichertswil
4571;Lüterkofen
4566;Halten
4566;Kriegstetten
4566;Oekingen
4565;Recherswil
4564;Obergerlafingen
4564;Zielebach
4563;Gerlafingen
4562;Biberist
4558;Heinrichswil
4558;Hersiwil
4558;Winistorf
4557;Horriwil
4556;Aeschi SO
4556;Bolken
4556;Burgäschi
4556;Steinhof SO
4554;Etziken
4554;Hüniken
4553;Subingen
4552;Derendingen
4543;Deitingen
4542;Luterbach
4539;Farnern
4539;Rumisberg
4538;Oberbipp
4537;Wiedlisbach
4536;Attiswil
4535;Hubersdorf
4535;Kammersrohr
4534;Flumenthal
4533;Riedholz
4532;Feldbrunnen
4528;Zuchwil
4525;Balm b. Günsberg
4524;Balmberg
4524;Günsberg
4524;Oberbalmberg
4523;Niederwil SO
4522;Rüttenen
4515;Oberdorf SO
4515;Weissenstein b. Solothurn
4514;Lommiswil
4513;Langendorf
4512;Bellach
4500;Solothurn
4497;Rünenberg
4496;Kilchberg BL
4495;Zeglingen
4494;Oltingen
4493;Wenslingen
4492;Tecknau
4469;Anwil
4468;Kienberg
4467;Rothenfluh
4466;Ormalingen
4465;Hemmiken
4464;Maisprach
4463;Buus
4462;Rickenbach BL
4461;Böckten
4460;Gelterkinden
4458;Eptingen
4457;Diegten
4456;Tenniken
4455;Zunzgen
4453;Nusshof
4452;Itingen
4451;Wintersingen
4450;Sissach
4448;Läufelfingen
4447;Känerkinden
4446;Buckten
4445;Häfelfingen
4444;Rümlingen
4443;Wittinsburg
4442;Diepflingen
4441;Thürnen
4438;Langenbruck
4437;Waldenburg
4436;Liedertswil
4436;Oberdorf BL
4435;Niederdorf
4434;Hölstein
4433;Ramlinsburg
4432;Lampenberg
4431;Bennwil
4426;Lauwil
4425;Titterten
4424;Arboldswil
4423;Hersberg
4422;Arisdorf
4421;St. Pantaleon
4419;Lupsingen
4418;Reigoldswil
4417;Ziefen
4416;Bubendorf
4415;Lausen
4414;Füllinsdorf
4413;Büren SO
4412;Nuglar
4411;Seltisberg
4410;Liestal
4402;Frenkendorf
4334;Sisseln AG
4333;Münchwilen AG
4332;Stein AG
4325;Schupfart
4324;Obermumpf
4323;Wallbach
4322;Mumpf
4317;Wegenstetten
4316;Hellikon
4315;Zuzgen
4314;Zeiningen
4313;Möhlin
4312;Magden
4310;Rheinfelden
4305;Olsberg
4304;Giebenach
4303;Kaiseraugst
4302;Augst BL
4254;Liesberg Dorf
4253;Liesberg
4252;Bärschwil
4247;Grindel
4246;Wahlen b. Laufen
4245;Kleinlützel
4244;Röschenz
4243;Dittingen
4242;Laufen
4234;Zullwil
4233;Meltingen
4232;Fehren
4229;Beinwil SO
4228;Erschwil
4227;Büsserach
4226;Breitenbach
4225;Brislach
4224;Nenzlingen
4223;Blauen
4222;Zwingen
4208;Nunningen
4207;Bretzwil
4206;Seewen SO
4204;Himmelried
4203;Grellingen
4202;Duggingen
4153;Reinach BL
4148;Pfeffingen
4147;Aesch BL
4146;Hochwald
4145;Gempen
4144;Arlesheim
4143;Dornach
4142;Münchenstein
4133;Pratteln
4132;Muttenz
4127;Birsfelden
4126;Bettingen
4125;Riehen
4124;Schönenbuch
4123;Allschwil
4118;Rodersdorf
4117;Burg im Leimental
4116;Metzerlen
4115;Mariastein
4114;Hofstetten SO
4112;Bättwil
4112;Flüh
4108;Witterswil
4107;Ettingen
4106;Therwil
4105;Biel-Benken BL
4104;Oberwil BL
4103;Bottmingen
4102;Binningen
4101;Bruderholz
4059;Basel
4058;Basel
4057;Basel
4056;Basel
4055;Basel
4054;Basel
4053;Basel
4052;Basel
4051;Basel
4001;Basel
3999;Oberwald
3998;Gluringen
3998;Reckingen VS
3997;Bellwald
3996;Binn
3995;Ausserbinn
3995;Ernen
3995;Mühlebach (Goms)
3995;Steinhaus
3994;Lax
3994;Martisberg
3993;Grengiols
3992;Bettmeralp
3991;Betten
3989;Biel VS
3989;Blitzingen
3989;Niederwald
3989;Ritzingen
3989;Selkingen
3988;Obergesteln
3988;Ulrichen
3987;Riederalp
3986;Ried-Mörel
3985;Geschinen
3985;Münster VS
3984;Fiesch
3984;Fieschertal
3983;Bister
3983;Filet
3983;Goppisberg
3983;Greich
3983;Mörel
3982;Bitsch
3979;Grône
3978;Flanthey
3977;Granges VS
3976;Champzabé
3976;Noës
3975;Randogne
3974;Mollens VS
3973;Venthône
3972;Miège
3971;Chermignon
3971;Chermignon-d'en-Bas
3971;Ollon VS
3970;Salgesch
3968;Veyras
3967;Vercorin
3966;Chalais
3966;Réchy
3965;Chippis
3963;Aminona
3963;Crans-Montana
3963;Montana
3961;Ayer
3961;Chandolin
3961;Grimentz
3961;Mission
3961;St-Jean VS
3961;St-Luc
3961;Vissoie
3961;Zinal
3960;Corin-de-la-Crête
3960;Loc
3960;Muraz (Sierre)
3960;Niouc
3960;Sierre
3957;Bratsch
3957;Erschmatt
3956;Guttet-Feschel
3955;Albinen
3954;Leukerbad
3953;Inden
3953;Leuk Stadt
3953;Varen
3952;Susten
3951;Agarn
3949;Hohtenn
3948;Oberems
3948;Unterems
3947;Ergisch
3946;Gruben
3946;Turtmann
3945;Gampel
3945;Niedergampel
3944;Unterbäch VS
3943;Eischoll
3942;Niedergesteln
3942;Raron
3942;St. German
3940;Steg VS
3939;Eggerberg
3938;Ausserberg
3937;Baltschieder
3935;Bürchen
3934;Zeneggen
3933;Staldenried
3932;Visperterminen
3931;Lalden
3930;Eyholz
3930;Visp
3929;Täsch
3928;Randa
3927;Herbriggen
3926;Embd
3925;Grächen
3924;St. Niklaus VS
3923;Törbel
3922;Eisten
3922;Kalpetran
3922;Stalden VS
3920;Zermatt
3919;Blatten (Lötschen)
3918;Wiler (Lötschen)
3917;Goppenstein
3917;Kippel
3916;Ferden
3914;Belalp
3914;Blatten b. Naters
3913;Rosswald
3912;Termen
3911;Ried-Brig
3910;Saas-Grund
3908;Saas-Balen
3907;Gabi (Simplon)
3907;Gondo
3907;Simplon Dorf
3906;Saas-Fee
3905;Saas-Almagell
3904;Naters
3903;Birgisch
3903;Mund
3902;Glis
3901;Rothwald
3900;Brig
3900;Brigerbad
3900;Gamsen
3864;Guttannen
3863;Gadmen
3862;Innertkirchen
3860;Brünig
3860;Meiringen
3860;Rosenlaui
3860;Schattenhalb
3858;Hofstetten b. Brienz
3857;Unterbach BE
3856;Brienzwiler
3855;Axalp
3855;Brienz BE
3855;Schwanden b. Brienz
3854;Oberried am Brienzersee
3853;Niederried b. Interlaken
3852;Ringgenberg BE
3826;Gimmelwald
3825;Mürren
3824;Stechelberg
3823;Eigergletscher
3823;Kleine Scheidegg
3823;Wengen
3822;Isenfluh
3822;Lauterbrunnen
3818;Grindelwald
3816;Burglauenen
3816;Lütschental
3815;Gündlischwand
3815;Zweilütschinen
3814;Gsteigwiler
3813;Saxeten
3812;Wilderswil
3807;Iseltwald
3806;Bönigen b. Interlaken
3805;Goldswil b. Interlaken
3804;Habkern
3803;Beatenberg
3801;Jungfraujoch
3800;Interlaken
3800;Matten b. Interlaken
3800;Sundlauenen
3800;Unterseen
3792;Saanen
3785;Gsteig b. Gstaad
3784;Feutersoey
3783;Grund b. Gstaad
3782;Lauenen b. Gstaad
3781;Turbach
3780;Gstaad
3778;Schönried
3777;Saanenmöser
3776;Oeschseite
3775;Lenk im Simmental
3773;Matten (St. Stephan)
3772;St. Stephan
3771;Blankenburg
3770;Zweisimmen
3766;Boltigen
3765;Oberwil im Simmental
3764;Weissenburg
3763;Därstetten
3762;Erlenbach im Simmental
3758;Latterbach
3757;Schwenden im Diemtigtal
3756;Zwischenflüh
3755;Horboden
3754;Diemtigen
3753;Oey
3752;Wimmis
3725;Achseten
3724;Ried (Frutigen)
3723;Kiental
3722;Scharnachtal
3718;Kandersteg
3717;Blausee-Mitholz
3716;Kandergrund
3715;Adelboden
3714;Frutigen
3714;Wengi b. Frutigen
3713;Reichenbach im Kandertal
3711;Emdthal
3711;Mülenen
3707;Därligen
3706;Leissigen
3705;Faulensee
3704;Krattigen
3703;Aeschi b. Spiez
3703;Aeschiried
3702;Hondrich
3700;Spiez
3674;Bleiken b. Oberdiessbach
3673;Linden
3672;Aeschlen b. Oberdiessbach
3672;Oberdiessbach
3671;Brenzikofen
3671;Herbligen
3665;Wattenwil
3664;Burgistein
3663;Gurzelen
3662;Seftigen
3661;Uetendorf
3658;Merligen
3657;Schwanden (Sigriswil)
3656;Aeschlen ob Gunten
3656;Ringoldswil
3656;Tschingel ob Gunten
3655;Sigriswil
3654;Gunten
3653;Oberhofen am Thunersee
3652;Hilterfingen
3647;Reutigen
3646;Einigen
3645;Gwatt (Thun)
3645;Zwieselberg
3638;Blumenstein
3638;Pohlern
3636;Forst b. Längenbühl
3636;Längenbühl
3635;Uebeschi
3634;Thierachern
3633;Amsoldingen
3632;Niederstocken
3632;Oberstocken
3631;Höfen b. Thun
3629;Jaberg
3629;Kiesen
3629;Oppligen
3628;Uttigen
3627;Heimberg
3626;Hünibach
3625;Heiligenschwendi
3624;Goldiwil (Thun)
3624;Schwendibach
3623;Buchen BE
3623;Horrenbach
3623;Teuffenthal b. Thun
3622;Homberg b. Thun
3619;Eriz
3619;Innereriz
3618;Süderen
3617;Fahrni b. Thun
3616;Schwarzenegg
3615;Heimenschwand
3614;Unterlangenegg
3613;Steffisburg
3612;Steffisburg
3608;Thun
3604;Thun
3603;Thun
3600;Thun
3557;Fankhaus (Trub)
3556;Trub
3555;Trubschachen
3553;Gohl
3552;Bärau
3551;Oberfrittenbach
3550;Langnau im Emmental
3543;Emmenmatt
3538;Röthenbach im Emmental
3537;Eggiwil
3536;Aeschau
3535;Schüpbach
3534;Signau
3533;Bowil
3532;Mirchel
3532;Zäziwil
3531;Oberthal
3513;Bigenthal
3512;Walkringen
3510;Freimettigen
3510;Häutligen
3510;Konolfingen
3508;Arni BE
3507;Biglen
3506;Grosshöchstetten
3504;Niederhünigen
3504;Oberhünigen
3503;Gysenstein
3476;Oschwand
3475;Hermiswil
3475;Riedtwil
3474;Rüedisbach
3473;Alchenstorf
3472;Rumendingen
3472;Wynigen
3465;Dürrenroth
3464;Schmidigen-Mühleweg
3463;Häusernmoos im Emmental
3462;Weier im Emmental
3457;Wasen im Emmental
3456;Trachselwald
3455;Grünen
3454;Sumiswald
3453;Heimisbach
3452;Grünenmatt
3439;Ranflüh
3438;Lauperswil
3437;Rüderswil
3436;Zollbrück
3435;Ramsei
3434;Landiswil
3434;Obergoldbach
3433;Schwanden im Emmental
3432;Lützelflüh-Goldbach
3429;Hellsau
3429;Höchstetten
3428;Wiler b. Utzenstorf
3427;Utzenstorf
3426;Aefligen
3425;Koppigen
3425;Willadingen
3424;Niederösch
3424;Oberösch
3423;Ersigen
3422;Alchenflüh
3422;Kirchberg BE
3422;Rüdtligen
3421;Lyssach
3421;Rüti b. Lyssach
3419;Biembach im Emmental
3418;Rüegsbach
3417;Rüegsau
3416;Affoltern im Emmental
3415;Hasle b. Burgdorf
3415;Rüegsauschachen
3415;Schafhausen im Emmental
3414;Oberburg
3413;Kaltacker
3412;Heimiswil
3400;Burgdorf
3380;Walliswil b. Niederbipp
3380;Wangen an der Aare
3377;Walliswil b. Wangen
3376;Berken
3376;Graben
3375;Inkwil
3374;Wangenried
3373;Heimenhausen
3373;Röthenbach Herzogenbuchsee
3372;Wanzwil
3368;Bleienbach
3367;Ochlenberg
3367;Thörigen
3366;Bettenhausen
3366;Bollodingen
3365;Grasswil
3365;Seeberg
3363;Oberönz
3362;Niederönz
3360;Herzogenbuchsee
3326;Krauchthal
3325;Hettiswil b. Hindelbank
3324;Hindelbank
3324;Mötschwil
3323;Bäriswil BE
3322;Mattstetten
3322;Urtenen-Schönbühl
3317;Limpach
3317;Mülchi
3315;Bätterkinden
3315;Kräiligen
3314;Schalunen
3313;Büren zum Hof
3312;Fraubrunnen
3309;Kernenried
3309;Zauggenried
3308;Grafenried
3307;Brunnenthal
3306;Etzelkofen
3305;Iffwil
3305;Scheunen
3303;Ballmoos
3303;Jegenstorf
3303;Münchringen
3303;Zuzwil BE
3302;Moosseedorf
3298;Oberwil b. Büren
3297;Leuzigen
3296;Arch
3295;Rüti b. Büren
3294;Büren an der Aare
3294;Meienried
3293;Dotzigen
3292;Busswil BE
3286;Muntelier
3285;Galmiz
3284;Fräschels
3283;Kallnach
3283;Niederried b. Kallnach
3282;Bargen BE
3280;Greng
3280;Meyriez
3280;Murten
3274;Bühl b. Aarberg
3274;Hermrigen
3274;Merzligen
3273;Kappelen
3272;Epsach
3272;Walperswil
3271;Radelfingen b. Aarberg
3270;Aarberg
3268;Lobsigen
3267;Seedorf BE
3266;Wiler b. Seedorf
3264;Diessbach b. Büren
3263;Büetigen
3262;Suberg
3257;Ammerzwil BE
3257;Grossaffoltern
3256;Bangerten b. Dieterswil
3256;Dieterswil
3256;Seewil
3255;Rapperswil BE
3254;Balm b. Messen
3254;Messen
3253;Schnottwil
3252;Worben
3251;Ruppoldsried
3251;Wengi b. Büren
3250;Lyss
3238;Gals
3237;Brüttelen
3236;Gampelen
3235;Erlach
3234;Vinelz
3233;Tschugg
3232;Ins
3226;Treiten
3225;Müntschemier
3216;Agriswil
3216;Ried b. Kerzers
3215;Büchslen
3215;Gempenach
3215;Lurtigen
3214;Ulmiz
3213;Kleinbösingen
3213;Liebistorf
3212;Gurmels
3212;Kleingurmels
3210;Kerzers
3208;Gurbrü
3207;Golaten
3207;Wileroltigen
3206;Biberen
3206;Ferenbalm
3206;Gammen
3206;Rizenbach
3206;Wallenbuch
3205;Gümmenen
3204;Rosshäusern
3203;Mühleberg
3202;Frauenkappelen
3186;Düdingen
3185;Schmitten FR
3184;Wünnewil
3183;Albligen
3182;Ueberstorf
3179;Kriechenwil
3178;Bösingen
3177;Laupen BE
3176;Neuenegg
3175;Flamatt
3174;Thörishaus
3173;Oberwangen b. Bern
3172;Niederwangen b. Bern
3159;Riedstätt
3158;Guggisberg
3157;Milken
3156;Riffenmatt
3155;Helgisried-Rohrbach
3154;Rüschegg Heubach
3153;Rüschegg Gambach
3152;Mamishaus
3150;Schwarzenburg
3148;Lanzenhäusern
3147;Mittelhäusern
3145;Niederscherli
3144;Gasel
3132;Riggisberg
3128;Kirchenthurnen
3128;Rümligen
3127;Lohnstorf
3127;Mühlethurnen
3126;Gelterfingen
3126;Kaufdorf
3125;Toffen
3124;Belpberg
3123;Belp
3122;Kehrsatz
3116;Kirchdorf BE
3116;Mühledorf BE
3116;Noflen BE
3115;Gerzensee
3114;Wichtrach
3113;Rubigen
3112;Allmendingen b. Bern
3111;Tägertschi
3110;Münsingen
3099;Rüti b. Riggisberg
3098;Köniz
3098;Schliern b. Köniz
3097;Liebefeld
3096;Oberbalm
3095;Spiegel b. Bern
3089;Hinterfultigen
3088;Oberbütschel
3088;Rüeggisberg
3087;Niedermuhlern
